SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
Cc1c(N(C)C)c(=O)n(C2CCCC2)c(=O)n1C,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(C2CCCCC2)c(=O)n1C,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(CCO)c(=O)n1-c1ccccc1,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(C)C)c(=O)n(Cc2ccccc2)c(=O)n1C,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(CCCl)CCCl)c(=O)n(-c2ccccc2)n1C,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N(CNC(=O)c2cccnc2)C(C)C)c(=O)n(-c2ccccc2)n1C,2.55,,,,,,2.88,2.41,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)c(=O)n(-c2ccccc2)n1C,2.88,,,,,,2.23,2.4,,,,,,,,,2.08,,,,,,,,,,,,
Cc1c(N)c(C)c(S(=O)(=O)O)c(C)c1N,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)cc([N+](=O)[O-])cc1C(N)=O,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,
Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,,,,2.11,,,,,,,,,2.15,,,,,,,,,,,,
Cc1c(N)ccc2cc3ccc(N)c(C)c3nc12,,,,,,,,,,,,,3.42,,,,,,,,,,,,,,,,
Cc1c(N)cccc1Cl,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,,,
Cc1c(N)cccc1N,,,,,,,,,,,,,,,,,,,2.29,,,,3.29,,,,,,
Cc1c(N)nc(=O)[nH]c1C(=O)O,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)nc(=S)[nH]c1C(=O)O,2.76,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)nc(C)c2c1[nH]c1ccccc12,,,,,,,,3.02,,,,,,,,,3.32,,,,,,,,,,,,
Cc1c(N)nc(N)nc1C(=O)O,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)on[n+]1C(C)Cc1ccccc1,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N)on[n+]1C1CCCCC1,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N/C=C2/C(=O)N(c3ccccc3)N=C2c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N/C=C2/C=CC=CC2=O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCC2)c(=O)n(-c2ccccc2)c(=O)n1C,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCC2)c(=O)n(C)c(=O)n1-c1ccccc1,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCC2)c(=O)n(C)c(=O)n1C1CCCCC1,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCCC2)[nH]c2ccccc12,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCCC2)c(=O)n(-c2ccccc2)c(=O)n1C,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCCC2)c(=O)n(C)c(=O)n1-c1ccccc1,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCCCC2)c(=O)n(C)c(=O)n1C1CCCCC1,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCOCC2)c(=O)n(-c2ccccc2)c(=O)n1C,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCOCC2)c(=O)n(C)c(=O)n1C1CCCCC1,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N=CC(=O)c2ccc(Sc3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N=CC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N=Nc2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,3.66,,,,,,,,,,,,,,,,,,,,
Cc1c(N=O)c(O)c(C(=O)O)c(O)c1N=O,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)/C=C/c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)/C=C/c2ccccc2)n(-c2ccccc2)c2ccccc12,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C(C)C)N2C(=O)c3ccccc3C2=O)c(=O)n(-c2ccccc2)n1C,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)(C)N)c(=O)n(-c2ccccc2)n1C,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)(C)NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)N(C)C)c(=O)n(-c2ccccc2)n1C,2.57,,,,,2.63,,2.005,,,,,2.19,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)N(C)C)c(=O)n(C)c(=O)n1C,2.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)N)c(=O)n(-c2ccccc2)n1C,,,,,,2.87,,1.96,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)N2C(=O)c3ccccc3C2=O)c(=O)n(-c2ccccc2)n1C,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(C)NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(CC(C)C)N(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,3.38,,2.43,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(CC(C)C)NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(CCC(=O)O)NC(=O)Cc2ccccc2)c(=O)n(-c2ccccc2)n1C,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(Cc2ccccc2)N(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,4.22,,3.21,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(Cc2ccccc2)N2C(=O)c3ccccc3C2=O)c(=O)n(-c2ccccc2)n1C,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(N)C(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,3.12,,2.0,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(N)CC(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,3.32,,2.02,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(N)Cc2ccccc2)c(=O)n(-c2ccccc2)n1C,2.54,,,,,3.9750001000000004,,2.615,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C(NC(=O)c2ccccc2)C(C)C)c(=O)n(-c2ccccc2)n1C,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)C23CC4CC(CC(C4)C2)C3)c(=O)n(-c2ccccc2)n1C,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCC(=O)O)c(=O)n(-c2ccccc2)n1C,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCCCCCN)n(-c2ccccc2)c2ccccc12,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCCCCCN2C(=O)c3ccccc3C2=O)n(-c2ccc([N+](=O)[O-])cc2)c2ccccc12,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCCCCCN2C(=O)c3ccccc3C2=O)n(-c2ccccc2)c2ccccc12,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCCCCN2C(=O)c3ccccc3C2=O)n(-c2ccc([N+](=O)[O-])cc2)c2ccccc12,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CCCCCN2C(=O)c3ccccc3C2=O)n(-c2ccccc2)c2ccccc12,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CN(C)C)c(=O)n(-c2ccccc2)n1C,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CN(C)C)c(=O)n(C)c(=O)n1C,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CN)c(=O)n(-c2ccccc2)n1C,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CN2C(=O)C(c3ccccc3)(c3ccccc3)c3cc(C(=O)O)ccc32)c(=O)n(-c2ccccc2)n1C,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CNC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)CNC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,
Cc1c(NC(=O)COc2ccc(Cl)cc2)c(=O)n(C)c(=O)n1C,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)Cc2ccc(I)cc2)c(=O)n(-c2ccccc2)n1C,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)OCCN2CCCCC2)oc2ccccc12,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)[C@@H](N)CC(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,3.28,,2.06,,,,,2.02,,,,,,,,,,,,,,,,
Cc1c(NC(=O)[C@H](C)N)c(=O)n(-c2ccccc2)n1C,2.44,,,,,2.7,,1.96,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)[C@H](C)NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)[C@H](CC(C)C)N(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,3.21,,2.4,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2cc(C(=O)OC(C)C)c(O)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccc(Cl)cc2)n(-c2ccccc2)c2ccccc12,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccc(I)cc2)c(=O)n(-c2ccccc2)n1C,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccc(N)cc2)c(=O)n(-c2ccccc2)n1C,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccc(NC(=O)C(=O)NCC(C)C)cc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,
Cc1c(NC(=O)c2ccc(NC(=O)C(=O)NCCN(C)C)cc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,
Cc1c(NC(=O)c2ccc(NC(=O)C(=O)NCc3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,
Cc1c(NC(=O)c2ccc(NC(=O)C(N)=O)cc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,
Cc1c(NC(=O)c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)C(=O)N3CC(=O)O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2cccc3c2C(c2ccccc2)(c2ccccc2)C(=O)N3CC(=O)O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccccc2NC(=O)C(=O)NCC(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,
Cc1c(NC(=O)c2ccccc2NC(=O)C(=O)NCCN(C)C)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,
Cc1c(NC(=O)c2ccccc2NC(=O)C(=O)NCc2ccccc2)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,
Cc1c(NC(=O)c2ccccc2NC(=O)C(N)=O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,
Cc1c(NC(=O)c2ccccc2O)c(=O)n(-c2ccccc2)n1C,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,2.38,,,,,,,1.59,1.87,,,,1.91,,,,,,,,,,,,,,,,
Cc1c(NC(=S)N2CCC(C)CC2)c(=O)n(-c2ccccc2)n1C,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=S)N2CCOCC2)c(=O)n(-c2ccccc2)n1C,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=S)NC2CCCCC2)c(=O)n(-c2ccccc2)n1C,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=S)Nc2ccccc2)c(=O)n(-c2ccccc2)n1C,,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(=S)Nc2ccccn2)c(=O)n(-c2ccccc2)n1C,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(C)C)c(=O)n(-c2ccccc2)c(=O)n1C,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC(C)C)c(=O)n(-c2ccccc2)n1C,2.55,,,,,2.82,2.54,2.36,,,,,,,,,,,,,,2.74,,,,,,,
Cc1c(NC(C)C)c(=O)n(C)c(=O)n1-c1ccccc1,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NC=C2C(=O)N(c3ccccc3)N(c3ccccc3)C2=O)c(=O)n(-c2ccccc2)n1C,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(/N=C/C=C/c3ccccc3)C2=S)c(=O)n(-c2ccccc2)n1C,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(/N=C/c3ccccc3)C2=S)c(=O)n(-c2ccccc2)n1C,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(/N=C/c3ccccc3Cl)C2=S)c(=O)n(-c2ccccc2)n1C,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(/N=C/c3ccco3)C2=S)c(=O)n(-c2ccccc2)n1C,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(N3C(=O)C(Cl)C3/C=C/c3ccccc3)C2=S)c(=O)n(-c2ccccc2)n1C,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(N3C(=O)C(Cl)C3c3ccccc3)C2=S)c(=O)n(-c2ccccc2)n1C,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)N2C(=O)CC(=O)N(N3C(=O)C(Cl)C3c3ccccc3Cl)C2=S)c(=O)n(-c2ccccc2)n1C,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)c2ccc(-c3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)c2ccc(Oc3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NCC(=O)c2ccc([N+](=O)[O-])cc2)c(=O)n(-c2ccccc2)n1C,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(NS(=O)(=O)CCN)c(=O)n(-c2ccccc2)n1C,2.61,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,
Cc1c(N[C@@H](CC(C)C)C(=O)O)c(=O)n(-c2ccccc2)n1C,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,
Cc1c(Nc2ccc(C(=O)O)cc2)c(=O)n(-c2ccccc2)n1C,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Nc2ccccc2C(=O)O)ccc(O)c1Cl,2.95,,,,,,3.18,2.6,,,,2.33,2.64,,,,2.18,,,,,,,,,,,,
Cc1c(Nc2ncnc3ccccc23)c(=O)n(C)n1-c1ccccc1,3.05,,3.06,,,3.63,2.99,2.93,,3.63,,,,2.99,,,2.95,,2.95,,,,2.93,,,,,,
Cc1c(Nc2ncnc3nc[nH]c23)c(=O)n(-c2ccccc2)n1C,2.11,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(=O)[nH]c(=O)n1C,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(=O)ccn1C,2.15,,,,,,2.37,,,,,,,,,,1.84,,,,,,,,2.14,,,,
Cc1c(O)c(=O)ccn1CCO,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(=O)n(C)c(=O)n1C,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(=O)n(CCS(=O)CC(C)C)c(=O)n1CCS(=O)CC(C)C,2.23,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(Br)c(Br)c(O)c1Br,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(Br)cc(Br)c1O,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(C)c2c(-c3n(C)c4ccccc4[n+]3C)c(N)oc2c1C,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(C)c2c3c(oc2c1C)C1C(=O)CCCC31,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c(C)c2cc(-c3ccccc3)oc2c1C,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c2ccc(Cl)cc2n(C)c1=O,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)c2ccccc2n(C)c1=O,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(O)cc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,,,3.9,,,,,4.22,,,,,3.9,,,,,,,4.0,,,,,
Cc1c(O)ccc(=O)n1O,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
