SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccc(C)cc1,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)c1cccc(OC)c1,,,,,,3.83,3.28,,,,,,,,,,,,,,,3.93,,,,,,,
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.25,,,,,4.135,3.14,2.78,,,,,2.815,,,,,,,,4.02,4.1800003,,,,,,,
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCC1,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,,3.84,,3.84,,4.04,,2.74,,,,,5.26,,,,2.43,,,,3.99,,,,,,,,4.54
CCN(CC)CCOC(=O)C1(O)CCCCCC1,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(O)c2ccccc2-c2ccccc21,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(Sc2ccc(Cl)cc2)CCCC1,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(Sc2ccccc2)CCCC1,3.17,,,,,3.85,,2.55,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccc(C)c(C)c2)CCCC1,,,,,,3.885,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccc(C)cc2)CCCC1,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccc(C3CCCCC3)c(Cl)c2)CC1,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccc(OC)cc2)CCCC1,,,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2cccc(C)c2)CCCC1,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2cccc(OC)c2)CCCC1,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,3.035,,,,,3.795,3.19,3.02,,,,,2.71,,,,,,,,4.12,3.97,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCCC1,3.3,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1(c2ccccc2C)CCCC1,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C12CC3CC(CC(C3)C1)C2,2.88,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=CO[C@@H](C)[C@H]2CN3CCC4c5cc(C)c(OC)cc5N(C)C4[C@@H]3C[C@H]12,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=NNc2ccc(Cl)cc2C(=O)N1C,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=NNc2ccc(Cl)cc2C(=O)N1c1ccccc1,,,,,,,,2.62,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=NNc2ccccc2C(=O)N1C,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1=NNc2ccccc2C(=O)N1c1ccccc1,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1C=Cc2ccccc21,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CC2CCN1CC2,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CCC(C)(C(=O)OCC[NH+](CC)CC)C1(C)C,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CCC(C)CC1,,,,,,3.315,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CCCC(C(=O)OCCN(CC)CC)N1,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CCCC(C)N1,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1CC[N+](C)(C)CC1,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1Cc2ccccc2C1,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1Oc2ccccc2-c2ccccc21,,,,,,,,2.91,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1c2ccccc2-c2ccccc21,2.98,,,,,4.36,,2.54,,,,,,,,,,,,,4.29,,,,,,,,
CCN(CC)CCOC(=O)C1c2ccccc2C(C(=O)OCC[NH+](CC)CC)c2ccccc21,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1c2ccccc2CCc2ccccc21,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.16,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C1c2ccccc2Sc2ccccc21,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)C=C(c1ccccc1)c1ccccc1,2.19,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CC(O)(c1ccccc1)c1ccccc1,3.43,,,,,4.14,,2.96,,,,3.06,3.13,,,,2.21,,,,,4.14,,,,,,,
CCN(CC)CCOC(=O)CC(O)c1ccccc1,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CC(c1ccccc1)c1ccccc1,3.42,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CC1(C)Oc2ccccc2O1,2.69,,,,,,,,,,,,,,,,,,,,,4.605,,,,,,,
CCN(CC)CCOC(=O)CC1c2ccccc2Oc2ccccc21,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CCC(=O)Nc1nnc(C(C)C)s1,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CCC(=O)Nc1nncs1,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CCC(C)(C)C,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CN1C(=O)COc2ccc(C(C)=O)cc21,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CN1CCCCC1,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CN1CCOCC1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CO/N=C(/C)c1ccc2c(c1)N(CC)C(=O)CO2,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CO/N=C(\C)c1ccc2c(c1)N(CC)C(=O)CS2,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)COc1c(C(C)C)ccc(C)c1C(=O)OC,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)COc1cc(C)ccc1C(C)C,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)COc1ccc(Cl)cc1,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)COc1ccc(F)cc1,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CSc1ccc(C)cc1,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)CSc1ccccc1,,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,
CCN(CC)CCOC(=O)Cc1ccccc1,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Cc1nn(-c2ccc(OC)cc2)c2c1CCC2,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N(c1ccccc1)c1cccc(OC)c1,,,,,,,,,,,,,3.27,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N(c1ccccc1)c1ccccc1,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N(c1ccccc1)c1ccccc1OC,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N1CCCCC1,,,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N1CCN(C)CC1,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N1c2ccccc2Oc2ccccc21,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N1c2ccccc2Sc2ccccc21,3.43,,,,,4.16,,2.94,,,,,2.79,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)N1c2ccccc2Sc2cccnc21,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1c(C)cccc1Cl,,,,,,,3.77,,,,,,3.51,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1c(Cl)cc(OC)cc1Cl,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1cc2ccccc2o1,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1ccc2ccccc2c1,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1cccc(OCCOC)c1,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1ccccc1,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)Nc1ccccc1OCCOC,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)[C@@H]1CCCC[C@@H]1C,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)[C@@H]1CCCC[C@H]1C,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)[C@@H]1CCC[C@H](C)C1,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,2.46,,,,,3.54,,,,,,,1.74,,,,,,,,,3.3,,,,,,,
CCN(CC)CCOC(=O)c1c(-c2ccccc2)csc1NC(=O)c1ccccc1,,,2.9450002,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(-c2cccs2)csc1NC(=O)c1ccccc1,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(C)cc(C)cc1C,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(C)cc(N)cc1C,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(C)nsc1Cl,2.53,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(C)oc2ccc(O)c(CN(C)C)c12,3.44,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,
CCN(CC)CCOC(=O)c1c(C)oc2ccc(O)c(Cl)c12,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(C)oc2ccc(O)cc12,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(NC(=O)c2ccccc2)sc(C)c1C,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c1CCCC2,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cc(C)c(N)c(C)c1,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cc2ccccc2c2ccccc12,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cc2n(c1C(=O)O)CCc1cc(OC)c(OC)cc1-2,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(-n2c(C)nc3ccccc3c2=O)cc1,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(C)c(N(CCCl)CCCl)c1,,,,,,,,,4.31,4.27,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(C)cc1,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N)c2ccccc12,3.44,,,,,,,,,,,,3.48,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.25,,,,3.32,3.8200002,3.095,3.01,2.65,3.26,,2.63,3.0149999,3.16,,,3.13,,,,3.78,3.8049998,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N)cc1C,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N)cc1O,3.355,,,,,3.81,3.215,3.33,,,,,2.98,,,,3.35,,,,,3.875,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N/C([O-])=N/c2c[n+](C(C)Cc3ccccc3)no2)cc1,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(N=NC2C(=O)N(c3ccccc3)N=C2C)cc1,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)C(C)(C)Oc2ccccc2Cl)cc1,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)C(Oc2ccc(Cl)cc2)Oc2ccc(Cl)cc2)cc1,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)CN(CC)CC)cc1O,,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)CN2CCOCC2)cc1O,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)CNC(C)C)cc1O,,,,,,3.78,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)CNC2CCCCC2)cc1O,,,,,,3.76,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)COc2ccc(F)cc2)cc1,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)COc2cccc(C(F)(F)F)c2)cc1,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)Nc2c[n+](C(C)Cc3ccccc3)no2)cc1,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(=O)c2ccccc2OC)cc1,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(NC(N)=S)cc1,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(Oc2nc(OC)nc(Oc3ccc(C(=O)OCCN(CC)CC)cc3)n2)cc1,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(Oc2nc(Oc3ccc(C(=O)OCCN(CC)CC)cc3)nc(N(CC)CC)n2)cc1,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccc(Oc2nc(Oc3ccc(C(=O)OCCN(CC)CC)cc3)nc(N(c3ccccc3)c3ccccc3)n2)cc1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccc(C)c1,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccc(OC)c1OC,,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccc(SC)c1,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccc2c(=O)c(C)c(C)oc12,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1,2.71,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1C,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1N(CCCl)CCCl,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1NCC(O)CN(CC)CC,,,,,,3.96,,3.16,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,,,,,,,,2.77,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccccc1Nc1cccc(C)c1C,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccnc1,,,,,,3.0349998,2.57,1.54,,,,2.41,2.2,,,,1.69,,,,3.41,3.1,,,,,,,
CCN(CC)CCOC(=O)c1cccnc1N(CC)c1ccccc1,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccnc1Nc1ccc(Cl)cc1,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1cccnc1Nc1ccccc1,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1ccco1,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1nc(Cl)c2ccccc2c1C,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=S)N1c2ccccc2Sc2ccccc21,,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(=S)c1ccccc1,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(C(=O)Nc1c(C)cccc1C)c1ccccc1,,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,,,,,,4.02,,2.75,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(C)Cc1ccc(N)cc1,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(Cc1ccccc1)C1CCCCN1,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(Cc1ccccc1)C1CCCNC1,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(Cc1ccccc1)C1CCNCC1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(Cc1ccccc1)c1ccccn1,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(Cc1ccccc1)c1ccncc1,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccc(Br)cc1)c1cc2ccccc2o1,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccc(Cl)cc1)c1cc2ccccc2o1,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccccc1)(c1ccccc1)c1ccccc1,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccccc1)C1CCCCC1,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccccc1)c1cc2ccccc2o1,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccccc1)c1ccc(C)cc1,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC(c1ccccc1)c1ccccc1,3.745,,,,,,3.76,,,,,,,,,,,,,,,,,,3.56,,,,
CCN(CC)CCOC/C=C/c1ccccc1,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC1(C2CCCCC2)CCCCC1,,,3.39,,,,,,,,,,,3.33,,,,,,,,,,,,,,,
CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC1(c2ccccc2)CCCCC1,,,3.54,,,,,,,,,,,3.4,,,,,,,,,,,,,,,
CCN(CC)CCOC12CC3CC(CC(C3)C1)C2,3.24,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC12CCC(c3ccccc31)c1ccccc12,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC1=C(Cc2ccccc2)C(=O)OC1,,,,,,3.02,,,,,,,2.74,,,,,,,,,,,,,,,,
CCN(CC)CCOC1CC2CC(OC2(C)C)C1(C)O,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC1CC2CCC1(C)C2(C)C,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOC1CCc2ccccc2C1,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCC(O)c1ccccc1,,,2.98,,,,,,,,,,2.5,,,,,,,,,,,,,,,,
CCN(CC)CCOCC1CC2C(C=C1C)C2(C)C,,,,,,4.25,,2.99,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCC1CCCCN1C,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCC1C[C@H]2[C@@H](C1)C2(C)C,,,,,,,,,,,,,,,,,,,,,,3.73,,,,,,,
CCN(CC)CCOCCC1(C)Oc2ccc(Cl)cc2O1,3.45,,,,,,,,,,,,,,,,,,,,,4.24,,,,,,,
CCN(CC)CCOCCC1=CCC2CC1C2(C)C,,,,,,4.28,,,,,,,3.1,,,,,,,,,3.88,,,,,,,
CCN(CC)CCOCCC1=CC[C@H]2C[C@@H]1C2(C)C,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCC1=NC(C)(C)Cc2cc(OC)c(OC)cc21,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCC1=NC(C)(C)Cc2ccccc21,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCC1CCC2CC1C2(C)C,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCCCc1ccccc1,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCCOC(=O)c1ccc(N)cc1,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCCc1ccc(N)cc1,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CCOCCCc1ccccc1,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,
