SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
BrCCN(CCBr)c1ccccc1,4.51,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,
BrCCN(CCOc1ccccc1)CCOc1ccccc1,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCN(Cc1ccccc1)c1cccs1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCCSCCSCCBr,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC[NH+](Cc1ccccc1)C1c2ccccc2-c2ccccc21,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC[NH+](Cc1ccccc1)Cc1ccccc1,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,,
BrCC[NH2+]c1ccccc1,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrCC[n+]1ccccc1-c1ccccn1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,
BrCCc1ccccc1,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,
BrCc1cc2c(cc1Br)OCO2,,,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,
BrCc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,
BrCc1ccc2ccccc2c1Br,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,
BrCc1cccc(Oc2ccccc2)c1,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,
BrCc1ccccc1C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,
BrCc1nc2ccccc2nc1CBr,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,
BrP1(c2ccccc2)=NP(Br)(c2ccccc2)=NP(Br)(c2ccccc2)=N1,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,
Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,,,,,,,,,,,,,,2.7,1.81,,,,,,,,,,,,
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,5.16,,4.68,,,,,,,,,,,,2.68,2.68,,3.28,,,,,,,,,,
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,6.47,,,3.26,,,,,,,,,,,,,,,,,,,,,
Brc1cc(-c2cc(Br)c(Br)c(Br)c2)cc(Br)c1Br,,4.91,,,4.32,,,,,,,,,,4.8,,,,,,,,,,,,,,
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(Br)cc1Br,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(NC2=NCC[NH2+]2)c2c1CCCC2,,,,,,4.21,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,,,,,,,,,,,,,,,,1.84,1.84,,,,,,,,,,,,
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,,,5.11,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)c2ccccc2c1NC1=NCC[NH2+]1,,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Br)cc(Br)c1,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc2c(Br)c(Br)c(Br)c(Br)c2cc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,,,
Brc1cc2c(Br)cc(Br)c(Br)c2cc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,,,
Brc1cc2c(cc1Br)-c1cc(Br)c(Br)cc1-2,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,,,
Brc1cc2c(cc1Br)Oc1c(cc(Br)c(Br)c1Br)O2,,,,8.29,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,,7.22,,8.22,,,,,,,,,,,,,6.7,,,,,,,,,,,,
Brc1cc2cc(Br)c(Br)cc2cc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,,,
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,,,,,,,,,,,,,,,,,2.59,,,,,,,,,,
Brc1ccc(-c2c[n+]3ccccc3n2CCCCCCn2c(-c3ccc(Br)cc3)c[n+]3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,,,5.22,,,,,,,
Brc1ccc(-c2cc(Br)c(Br)c(Br)c2)cc1Br,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2cc(Br)c(Br)cc2Br)cc1Br,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2cc3n(CCc4ccccc4)ccn3c2)cc1,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2ccc(Br)c(Br)c2)cc1Br,,4.67,,,5.37,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2csc(Nc3ccc(-c4csc(-c5ccccc5)n4)cc3)n2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,
Brc1ccc(-c2nnn(CCN3CCCCC3)n2)cc1,2.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(/C=C2\c3ccccc3-c3cccnc32)cc1,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,
Brc1ccc(/C=N/OCC[NH+]2CCOCC2)cc1,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Br)c(Br)c1,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Br)cc1,2.1,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C(OCC[NH2+]N2CCCC2)c2ccccc2)cc1,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C/C=C/CN2CCCCC2)cc1,3.77,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2(c3ccccc3)OC2n2ccnc2)c(Br)c1,,,,,,,,2.62,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C23OCC(C4CCCCC4)(CO2)CO3)cc1,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2=CC(c3ccccc3)N3C(=N2)Nc2ccccc23)cc1,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2=CSC3=NCCN23)cc1,,,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2=NCCS2)cc1,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2CNC2)cc1,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2NCCS2)cc1,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(C2SCCS2)cc1,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(CNC2=NCCS2)cc1,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,
Brc1ccc(CNCC2CCC(CNCc3ccc(Br)cc3)CC2)cc1,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(N/N=C/c2ccc3c(c2)OCO3)cc1,,,,,,3.2,,2.25,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(N/N=C/c2ccccc2)cc1,,,,,,3.04,,2.34,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(N2CN(c3ccc(Br)cc3)CP(c3ccccc3)C2)cc1,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(NC(=NC2CCCCC2)c2ccccc2)cc1,,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,
Brc1ccc(NC2=NCC[NH2+]2)c2ccccc12,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,1.75,3.13,,3.88,5.61,,1.53,,,,,,,,5.49,,1.53,4.49,,,,,,,,,,,
Brc1ccc(NC2C=Cc3c(ccc4ccccc34)O2)cc1,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,
Brc1ccc(NCCc2nn[nH]n2)cc1,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OC(=Nc2ccccc2)c2ccccc2)cc1,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc2ccc(Br)cn2)nc1,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCCCN2CCSC2)nc1,3.25,,,,,,,2.83,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCCN2CCSC2)nc1,3.25,,,,,,,2.69,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCN2CCSC2)nc1,3.28,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCN2CCSC2)nc1,3.2150002,,,,,,,2.8649998,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,3.35,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCCN2CCSC2)nc1,3.15,,,,,,,2.77,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCN2CCSC2)nc1,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCN2CCSC2)nc1,3.34,,,,,,,2.91,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,5.97,,4.67,,,,,,,,,,,,2.45,1.88,,,,,,,,,,,,
Brc1ccc(Oc2ccc(Br)cc2)cc1,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,,4.99,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,3.58,,,,,,,2.91,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(SCCCCCCCN2CCSC2)nc1,3.59,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(SCCCCCCN2CCSC2)nc1,3.12,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(SCCCCCN2CCSC2)nc1,3.14,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(SCCCCN2CCSC2)nc1,3.13,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(Sc2ccc(Br)cc2)cc1,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc([I+]c2ccc(Br)cc2)cc1,,,3.7350001000000006,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2[nH]cc(C3CCC[NH+]3Cc3ccccc3)c2c1,3.59,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,
Brc1ccc2[nH]cc(CN3CCOCC3)c2c1,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2c(c1)OCCOCCOCCOCCO2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2c(c1[NH2+]C1=NCCN1)CCCC2,,,,,,3.92,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2ccccc2c1NC1=NCC[NH2+]1,,,,,,4.46,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,
Brc1ccc2oc(-c3ncc[nH]3)cc2c1,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc[n+](Cc2ccccc2)c1,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(-c2ccccc2)c1,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(Br)c1,2.42,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(Br)n1,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,
Brc1cccc(C2=NCCS2)c1,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(C2NCCCS2)c1,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(C2NCCS2)c1,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(C2SCCS2)c1,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(OCCCCCN2CCSC2)n1,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(OCCN2CCCC2)c1,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccc(Oc2ccccc2)c1,,,,,,,,1.92,,,,,,,,,1.89,,,,,,,,,,,,
Brc1cccc2ccccc12,2.41,,,,,,2.92,,,,,,,,,,2.41,,,,,,,,,,,,
Brc1ccccc1,2.28,2.72,3.45,,2.32,,1.61,1.76,1.76,1.69,,,1.89,,2.32,,1.82,,,1.68,,,,,,1.97,,,
Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1Br,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1C/C=C/CN1CCCCC1,3.59,,,,,,3.59,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,,,,,,,,2.905,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1N/N=C/c1ccccc1,,,,,,3.54,,2.54,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1N1CCN(CCc2ccncc2)CC1,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccn1,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccnc1OCCCCCN1CCSC1,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cn[nH]c1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cn[nH]c1Br,,,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,
Brc1cnc(OCCCCCCN2CCSC2)c(Br)c1,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cnc(OCCCCCN2CCSC2)c(Br)c1,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cnc(OCCCCCNCCSSCCNCCCCCOc2ncc(Br)cc2Br)c(Br)c1,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cnc(SCCCCCN2CCSC2)c(Br)c1,2.97,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,,
Brc1cnc2c3ncc(Br)n3ccn12,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,
Brc1cnc2c3nccn3ccn12,,,,,,,,3.07,,,,,,,,,,,,,,,,,,,,,
Brc1cnc[nH]1,,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,,
Brc1n[nH]c(Br)n1,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,
Brc1nc(Br)c(Br)[nH]1,,,,,,4.23,,3.88,,,,,,,,,3.95,,,,,4.31,,,,,,,
Brc1nc[nH]c1Br,,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,
C#C/C(C)=C/C(O)(C(=O)OC1CCC2CCC1N2C)c1ccccc1,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,
C#C/C(C)=C/CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,
C#C/C=C/OCCCC,,,,,,,,,,,,,,,,,4.86,,,,,,,,,,,,
C#CC,,,,,,,,,,,,,,,,,0.904,,,,,,,1.3,,,,,
C#CC#CC#CC(O)C1OC(=O)OC1CCCCCCC(=O)OC,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC#C[C@@H]1O[C@H]1CO,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC=C=C/C=C\C=C\CC(=O)O,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC=C=CC(O)CCC(=O)O,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC=C=CC1CCC(=O)O1,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC=C=CC1OC1C1OC1C(O)C1CCC(=O)O1,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC#CC=C=CCC(=O)C(O)/C=C/C1CCC(=O)O1,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(=C)C,,,,,,,,2.28,,,,,,,,,,,2.01,,,,,,,,,,
C#CC(=O)/C=C/C,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,
C#CC(=O)O,3.45,,,,,,3.45,2.85,,,,,,,,,2.85,,,,,,,,,,,,
C#CC(=O)OC,,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)N,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,
C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,2.78,,,,,,2.94,2.44,,,,,,,,,2.73,,,,,,,,,,,,
C#CC(C)(C)NC(=O)OCC(C)(CCC)COC(N)=O,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)c1cc(Br)cc(C)c1O,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(C)c1OC,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(C)c1OCC=C,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,
C#CC(C)(C)NC(C)(C)C,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NC1=NC(=O)C(c2ccccc2)O1,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,2.95,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1Cl,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)NCC(O)COc1cccc2sncc12,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)O,,,,,,,,2.23,,,,,1.86,,,,1.63,,,,,,,,,,,,
C#CC(C)(C)OC(=O)Nc1ccccc1,,,,,,3.05,,2.13,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)OC(=O)c1ccccc1,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)OC(N)=O,,,,,,,,,1.93,,,,,2.26,,,,,,,,,,,,,,,
C#CC(C)(C)OC(O)C(Cl)(Cl)Cl,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(C)[NH+]1CC(OC(=O)NCCC)C1,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)N(CC)CC,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)NC1=NC(=O)C(c2ccccc2)O1,,,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)Nc1ccccc1,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)OC,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)OC(=O)C(C)(C)C,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)OC(=O)C(Cl)(Cl)Cl,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)OC(=O)C(Cl)c1ccccc1,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
